"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","RaspberryPi_Pico","","","","Module:RaspberryPi_Pico_Common_Unspecified","https://datasheets.raspberrypi.com/pico/pico-datasheet.pdf"
"C1","1","4700pf","","","","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"D1","1","LED","","","","LED_THT:LED_D3.0mm","~"
"H1,H2,H3,H4","4","MountingHole_Pad","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3_DIN965","~"
"J1","1","Conn_01x03_Pin","","","","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical","~"
"J2","1","Conn_01x03_Socket","","","","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical","~"
"J3","1","Conn_01x02_Socket","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","~"
"Q1,Q2,Q3,Q4,Q5,Q6","6","BS170","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BS170-D.PDF"
"R1","1","120 ohm","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical","~"
"R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13","12","2.2 kΩ","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical","~"
"R14","1","100","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical","~"
"U2","1","MCP2561-H-P","","","","Package_DIP:DIP-8_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/25167A.pdf"
